Doug,Make_x,Model_x,Version,Kilometers,Engine,Fuel Type,Transmission,Year_x,City,Price,Currency,Link,Year_y,Make_y,Model_y,Styling,Acceleration,Handling,Fun Factor,Cool Factor,WEEKEND TOTAL,Features,Comfort,Quality,Practicality,Value,DAILY TOTAL,DOUGSCORE,Video Link,Filming City,Filming State,Vehicle Country
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,22000 km,5.2,Nafta,Automática,2014,Capital Federal,239000,USD,https://auto.mercadolibre.com.ar/MLA-1523634328-audi-r8-coupe-2014-52-fsi-525cv-r-tronic-quattro-_JM,2014,Audi,R8,8,7,8,8,7,38,5,5,8,2,8,28,66,16:31,Birmingham,Michigan,Germany
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,17000 km,5.2,Nafta,Automática,2014,Vicente López,230000,USD,https://auto.mercadolibre.com.ar/MLA-1388150183-audi-r8-coupe-2014-52-fsi-525cv-r-tronic-quattro-_JM,2014,Audi,R8,8,7,8,8,7,38,5,5,8,2,8,28,66,16:31,Birmingham,Michigan,Germany
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,20840 km,3.5,Nafta,Automática,2022,Pilar,109000,USD,https://auto.mercadolibre.com.ar/MLA-1392534103-ford-f-150-f-150-raptor-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1495891516-f-150-raptor-ford-peunord-v6-4x4-ano-2022-0-km-at-35l-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,57000 km,3.5,Nafta,Automática,2020,Capital Federal,83000,USD,https://auto.mercadolibre.com.ar/MLA-1533703548-ford-f150-raptor-2020-v6-at-4x4-smart-garage-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Zárate,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1392032417-ford-f-150-raptor-35l-bi-turbo-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,17800 km,2.0,Diésel,Automática,2022,Capital Federal,109000,USD,https://auto.mercadolibre.com.ar/MLA-1499428022-ford-f150-raptor-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,San Isidro,101314400,USD,https://auto.mercadolibre.com.ar/MLA-1530982234-ford-f-150-raptor-pv-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,41000 km,3.5,Nafta,Automática,2020,Capital Federal,90000,USD,https://auto.mercadolibre.com.ar/MLA-1527117878-ford-raptor-35-v6-ecpboost-4x4-at-2020-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,1200 km,3.5,Nafta,Automática,2023,San Miguel,128000,USD,https://auto.mercadolibre.com.ar/MLA-1391056567-ford-f-150-raptor-2023-35l-bi-turbo-_JM,2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
