Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,25431 km,5.2,Nafta,Automática,2014,Capital Federal,245000,USD,https://auto.mercadolibre.com.ar/MLA-1498227038-audi-r8-v-10-coupe-r-tronic-_JM
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,22000 km,5.2,Nafta,Automática,2014,Capital Federal,239000,USD,https://auto.mercadolibre.com.ar/MLA-1523634328-audi-r8-coupe-2014-52-fsi-525cv-r-tronic-quattro-_JM
Audi R8 2014,Audi,R8 Coupé,5.2 Fsi 525cv R Tronic Quattro,17000 km,5.2,Nafta,Automática,2014,Vicente López,230000,USD,https://auto.mercadolibre.com.ar/MLA-1388150183-audi-r8-coupe-2014-52-fsi-525cv-r-tronic-quattro-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,20840 km,3.5,Nafta,Automática,2022,Pilar,109000,USD,https://auto.mercadolibre.com.ar/MLA-1392534103-ford-f-150-f-150-raptor-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1495891516-f-150-raptor-ford-peunord-v6-4x4-ano-2022-0-km-at-35l-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Vicente López,115000,USD,https://auto.mercadolibre.com.ar/MLA-1386488797-peunord-ford-f-150-raptor-35l-v6-4x4-at-0-km-ano-2022-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,57000 km,3.5,Nafta,Automática,2020,Capital Federal,83000,USD,https://auto.mercadolibre.com.ar/MLA-1533703548-ford-f150-raptor-2020-v6-at-4x4-smart-garage-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Zárate,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1392032417-ford-f-150-raptor-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,17800 km,2.0,Diésel,Automática,2022,Capital Federal,109000,USD,https://auto.mercadolibre.com.ar/MLA-1499428022-ford-f150-raptor-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,San Isidro,101314400,USD,https://auto.mercadolibre.com.ar/MLA-1530982234-ford-f-150-raptor-pv-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,13000 km,3.5,Nafta,Automática,2020,Capital Federal,98000,USD,https://auto.mercadolibre.com.ar/MLA-1392907153-ford-f-150-raptor-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,41000 km,3.5,Nafta,Automática,2020,Capital Federal,90000,USD,https://auto.mercadolibre.com.ar/MLA-1527117878-ford-raptor-35-v6-ecpboost-4x4-at-2020-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,1200 km,3.5,Nafta,Automática,2023,San Miguel,128000,USD,https://auto.mercadolibre.com.ar/MLA-1391056567-ford-f-150-raptor-2023-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,0 km,3.5,Nafta,Automática,2023,Capital Federal,109500,USD,https://auto.mercadolibre.com.ar/MLA-1530315146-ford-f150-raptor-2023-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,49600 km,2.0,Nafta,Automática,2020,Resistencia,95000,USD,https://auto.mercadolibre.com.ar/MLA-1472012720-ford-f-150-raptor-35l-v6-ecoboost-4x4-at-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,16500 km,3.5,Nafta,Automática,2021,La Matanza,97000,USD,https://auto.mercadolibre.com.ar/MLA-1388802497-ford-f-150-raptor-2021-negro-16500-kms-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Tigre,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1532665576-ford-ranger-f-150-raptor-entrega-inmediata-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2022,Tigre,114950000,USD,https://auto.mercadolibre.com.ar/MLA-1371938985-ford-f-150-raptor-35-v6-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,63000 km,2.0,Diésel,Automática,2020,Hurlingham,106500,USD,https://auto.mercadolibre.com.ar/MLA-1385660477-ford-f150-raptor-2020-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,0 km,2.0,Diésel,Automática,2023,Berazategui,119000,USD,https://auto.mercadolibre.com.ar/MLA-1425608608-ford-f-150-raptor-0km-patentada-2023-_JM
Ford F-150 Raptor 2017,Ford,F-150 Raptor,3.5l Bi-turbo,56000 km,3.5,Nafta,Automática,2020,Capital Federal,105000,USD,https://auto.mercadolibre.com.ar/MLA-1391170037-ford-f-150-raptor-2020-35l-bi-turbo-_JM
Ford F-150 Raptor 2017,Ford,F-150,F-150 Raptor,36235 km,2.0,Diésel,Automática,2023,Capital Federal,95000,USD,https://auto.mercadolibre.com.ar/MLA-1491156198-ford-f150-raptor-35-v6-4x4-at-2023-36235km-viel-automotores-_JM
