Doug,Make,Model,Version,Kilometers,Engine,Fuel Type,Transmission,Year,City,Price,Currency,Link
Honda Civic Si 2022,Honda,Civic,Si,197000 km,2.0,Nafta,Manual,2007,Rosario,13500,USD,https://auto.mercadolibre.com.ar/MLA-1532370610-honda-civic-si-_JM
Honda Civic Si 2022,Honda,Civic,2.0 Si,208000 km,2.0,Nafta,Manual,2007,Tres de febrero,14500,USD,https://auto.mercadolibre.com.ar/MLA-1391964783-honda-civic-si-_JM
Nissan Pathfinder 2022,Nissan,Pathfinder,3.3 Se,125800 km,3.3,Nafta,Manual,1996,Capital Federal,9200,USD,https://auto.mercadolibre.com.ar/MLA-1382247821-nissan-pathfinder-ano-1996-color-azul-as-automobili-_JM
Nissan Pathfinder 2022,Nissan,Pathfinder,3.3 Se Wide Lux Cu,209000 km,3.3,Nafta,Manual,1998,General San Martín,8000,USD,https://auto.mercadolibre.com.ar/MLA-1524429058-nissan-pathfinder-1998-33-se-wide-lux-cu-_JM
Nissan Pathfinder 2022,Nissan,Pathfinder,3.3 Se Wide,229000 km,3.3,Nafta,Manual,2000,Vicente López,7500,USD,https://auto.mercadolibre.com.ar/MLA-1525283776-nissan-pathfinder-4x4-33-se-wide-v6-_JM
Fiat Multipla 1988,Fiat,600 Multipla,1.4 Scl,111111 km,1.4,Nafta,Manual,1957,Capital Federal,6000,USD,https://auto.mercadolibre.com.ar/MLA-1533771132-fiat-600-multipla-1957-6-posti-_JM
Toyota C-HR 2020,Toyota,C-HR,hybrida,27241 km,hybrido,Híbrido/Nafta,Automática secuencial,2020,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1511810922-toyota-c-hr-hybrida-automatica-_JM
Chevrolet Impala SS 1996,Chevrolet,impala,Ss,1 km,327,Nafta,Automática,1965,Bahía Blanca,65000,ARS,https://auto.mercadolibre.com.ar/MLA-1139157800-chevrolet-impala-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,32335 km,2.5,Nafta,Automática,2019,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1389363515-rav4-hv-25-limited-4x2-uct-ef-to-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Tx,32335 km,2.5,Nafta,Automática,2019,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1389362301-toyota-rav4-25-hv-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,46000 km,2.5,Nafta,Automática,2019,Capital Federal,44900,USD,https://auto.mercadolibre.com.ar/MLA-1530407864-toyota-rav4-hybrid-limited-25-cvt-_JM
Toyota RAV4 2019,Toyota,RAV4,HIBRYD LIMITED,32000 km,2.5 HYBRID,Híbrido,Automática,2019,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1391330743-toyota-rav4-hibrida-25-limited-4x2-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 LIMITED 4X2,32335 km,2.5 HV,Híbrido/Nafta,Automática,2019,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1390345621-toyota-rav4-hv-25-limited-4x2-uct-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,XLE HIBRIDO,71000 km,2.5L HIBIRIDO,Híbrido/Nafta,Automática,2019,Avellaneda,30615000,USD,https://auto.mercadolibre.com.ar/MLA-1485712672-toyota-rav4-xle-hibrida-25l-at-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 LIMITED 4X2,32335 km,2.5,Híbrido,Automática,2019,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1516598198-toyota-rav4-hv-25-limited-4x2-uct-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 LIMITED 4X2,32335 km,2.5,Híbrido,Automática secuencial,2019,Capital Federal,42000,USD,https://auto.mercadolibre.com.ar/MLA-1389355711-toyota-rav-_JM
Toyota RAV4 2019,Toyota,RAV4,RAV4 HV 2.5 LIMITED CVT,79000 km,2.5,Híbrido,Automática,2019,Capital Federal,45000000,USD,https://auto.mercadolibre.com.ar/MLA-1523089898-toyota-rav4-hv-25-limited-cvt-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,HV HYBRID LIMITED CVT,24400 km,"2,5",Híbrido/Nafta,Automática,2019,Capital Federal,52900,USD,https://auto.mercadolibre.com.ar/MLA-1523091402-toyota-rav-4-hv-25-limited-cvt-4x2-hybrid-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,70000 km,2.5,Nafta,Automática,2019,General Rodríguez,38000,USD,https://auto.mercadolibre.com.ar/MLA-1391134561-toyota-rav4-2019-25-vx-_JM
Toyota RAV4 2019,Toyota,RAV4,LIMITED HYBRID CVT,66000 km,2.5,Híbrido/Nafta,Automática secuencial,2019,Vicente López,44800,USD,https://auto.mercadolibre.com.ar/MLA-1386661575-toyota-rav4-rav-4-limited-hybrid-2019-hibrida-crv-hrv-cross-_JM
Toyota RAV4 2019,Toyota,RAV4 HV 2.5 LIMITED CVT,RAV4 HV 2.5 LIMITED CVT,98000 km,2.5,Híbrido,Automática,2019,San Miguel de Tucumán,37970000,USD,https://auto.mercadolibre.com.ar/MLA-1386561757-toyota-rav4-hv-25-limited-cvt-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,63000 km,2.5,Nafta,Automática,2019,San Isidro,36750,USD,https://auto.mercadolibre.com.ar/MLA-1533682478-toyota-rav4-hv-25-limited-cvt-2019-vr-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,71000 km,2.5,Nafta,Automática,2019,Vicente López,45000,USD,https://auto.mercadolibre.com.ar/MLA-1393047371-toyota-rav4-25-limited-hybrid-_JM
Toyota RAV4 2019,Toyota,RAV4,2.4 HV LIMITED,96076 km,2.5,Diésel,Automática,2019,Capital Federal,36900,USD,https://auto.mercadolibre.com.ar/MLA-1391482567-toyota-rav4-hv-limited-2019-color-negro-automatica-impecable-_JM
Toyota RAV4 2019,Toyota,RAV4,LIMITED HYBRID 2WD,80000 km,2.5,Híbrido/Nafta,Automática,2019,Córdoba,41900,USD,https://auto.mercadolibre.com.ar/MLA-1529123506-toyota-rav-4-limited-2wd-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,44000 km,2.5,Nafta,Automática,2019,Vicente López,42000,USD,https://auto.mercadolibre.com.ar/MLA-1382361119-toyota-rav-4-hibrida-limited-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 XLE CVT,21800 km,HV 2.5 CVT,Híbrido/Nafta,Automática,2019,San Miguel,39900,USD,https://auto.mercadolibre.com.ar/MLA-1387521965-toyota-rav4-hybrid-xle-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 XLE CVT,62598 km,2.5,Híbrido,Automática secuencial,2019,Capital Federal,43000,USD,https://auto.mercadolibre.com.ar/MLA-1516529292-toyota-rav4-hv-_JM
Toyota RAV4 2019,Toyota,RAV4,4WD 2.5 Limited Hybrid,128446 km,2.5,Híbrido/Nafta,Automática,2019,Ituzaingó,40000,USD,https://auto.mercadolibre.com.ar/MLA-1491183122-toyota-rav-4-4wd-25-limited-hybrid-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,Hybrid 4x2 limited,36000 km,2.5,Nafta,Automática,2019,Godoy Cruz,48000,USD,https://auto.mercadolibre.com.ar/MLA-1485835186-toyota-rav4-hybrid-4x2-limited-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,66000 km,2.5,Nafta,Automática,2019,La Plata,45000,USD,https://auto.mercadolibre.com.ar/MLA-1515169266-toyota-rav4-2019-limited-25-vx-_JM
Toyota RAV4 2019,Toyota,RAV4,LÍMITED HIBRIDA,55000 km,2.5,Híbrido/Nafta,Automática,2019,Quilmes,41500,USD,https://auto.mercadolibre.com.ar/MLA-1533905788-toyota-rav4-limited-hibrida-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 LIMITED CVT,51000 km,2.5,Híbrido/Nafta,Automática,2019,San Isidro,36400,USD,https://auto.mercadolibre.com.ar/MLA-1533694866-toyota-rav4-hv-25-limited-cvt-2019-ug-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Tx,27000 km,2.5,Nafta,Automática,2019,Capital Federal,37900,USD,https://auto.mercadolibre.com.ar/MLA-1483052268-toyota-rav4-tx-2019-hybrid-_JM
Toyota RAV4 2019,Toyota,RAV4,2.0 Vx,75000 km,2.0,Nafta,Automática,2019,Pilar,33000,USD,https://auto.mercadolibre.com.ar/MLA-1496511360-toyota-rav4-2019-20-vx-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,49000 km,2.5,Híbrido,Automática,2019,Capital Federal,43900,USD,https://auto.mercadolibre.com.ar/MLA-1388145515-toyota-rav-4-xle-25-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,65000 km,2.5,Nafta,Automática,2019,La Plata,42000,USD,https://auto.mercadolibre.com.ar/MLA-1385268981-toyota-rav-4-hybrid-limited-25-vx-2019-autos122lp-_JM
Toyota RAV4 2019,Toyota,RAV4,limited 2.5 4x2,71000 km,2.5,Híbrido/Nafta,Automática,2019,Paraná,45000,USD,https://auto.mercadolibre.com.ar/MLA-1509676194-toyota-rav4-limited-25-4x2-_JM
Toyota RAV4 2019,Toyota,RAV4,4x4 LIM. HYBRID,92000 km,2.5,Nafta,Automática,2019,Córdoba,40000,USD,https://auto.mercadolibre.com.ar/MLA-1381963779-toyota-rav4-4x2-lim-hybrid-_JM
Toyota RAV4 2019,Toyota,RAV4,LIMITED HYBRID,151000 km,2.5,Híbrido,Automática,2019,Mar del Plata,33000,USD,https://auto.mercadolibre.com.ar/MLA-1476355264-toyota-rav4-2019-_JM
Toyota RAV4 2019,Toyota,RAV4,2.0 Vx,78000 km,2.0,Nafta,Automática,2019,Río Cuarto,35000,USD,https://auto.mercadolibre.com.ar/MLA-1522987758-toyota-rav4-2019-20-vx-_JM
Toyota RAV4 2019,Toyota,RAV4,2.0 Vx,65000 km,2.0,Nafta,Automática,2019,Maracó,41000,USD,https://auto.mercadolibre.com.ar/MLA-1528937454-toyota-rav4-2019-20-vx-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 LIMITED CVT,61000 km,222 CV,Híbrido/Nafta,Automática,2019,Capital Federal,41000,USD,https://auto.mercadolibre.com.ar/MLA-1542226316-toyota-rav4-hv-25-4x2-limited-cvt-_JM
Toyota RAV4 2019,Toyota,RAV4,HV 2.5 Limited CVT,28100 km,2.5,Híbrido/Nafta,Automática,2019,Capital Federal,43000,USD,https://auto.mercadolibre.com.ar/MLA-1530290814-toyota-rav4-hv-25-limited-cvt-_JM
Toyota RAV4 2019,Toyota,RAV4,2.5 Vx,53000 km,2.5,Nafta,Automática,2019,Capital Federal,40000,USD,https://auto.mercadolibre.com.ar/MLA-1392771269-toyota-rav4-2019-25-vx-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,3.6 V8 Hse,150335 km,3.6,Diésel,Automática,2007,San Isidro,19900,USD,https://auto.mercadolibre.com.ar/MLA-1390089271-land-rover-range-rover-36-tdv8-sport-hse-2007-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,4.0 Se,263000 km,4.0,Nafta,Manual,1998,Capital Federal,16000,USD,https://auto.mercadolibre.com.ar/MLA-1537701100-land-rover-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,5.0 V8 S/c,160000 km,5.0,Nafta,Automática,2012,Capital Federal,31000,USD,https://auto.mercadolibre.com.ar/MLA-1543923448-range-rover-sport-v8-50hse-impecable-por-donde-la-mire-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Velar S P300,S P300,18000 km,300,Nafta,Automática,2018,Capital Federal,114900,USD,https://auto.mercadolibre.com.ar/MLA-1485828464-land-rover-velar-s-p300-bmw-autopremier-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,VELAR P300 S,18000 km,300 CV,Nafta,Automática,2018,Capital Federal,114900,USD,https://auto.mercadolibre.com.ar/MLA-1504548620-land-rover-range-rover-velar-p300-s-300-cv-2018-18000-kms-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,4.6 Hse,142950 km,300 CV,Nafta,Automática,1998,San Isidro,24700,USD,https://auto.mercadolibre.com.ar/MLA-1540082172-land-rover-range-rover-46-hse-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,5.0 V8 S/c Hse,70000 km,5.0,Nafta,Automática,2016,Capital Federal,89900,USD,https://auto.mercadolibre.com.ar/MLA-1543891222-land-rover-range-rover-sport-50-v8-sc-hse-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,3.0 V6 Hse,71000 km,3.0,Diésel,Automática,2017,Pilar,105000,USD,https://auto.mercadolibre.com.ar/MLA-1388740629-land-rover-range-rover-sport-2017-30-v6-hse-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,2.7 Hse V6,132000 km,2.7,Diésel,Automática,2008,Godoy Cruz,27000,USD,https://auto.mercadolibre.com.ar/MLA-1475931294-land-rover-range-rover-sport-diesel-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Vogue,Puré Plus 240cv.,142000 km,240cv,Nafta,Automática,2012,Pilar,22900,USD,https://auto.mercadolibre.com.ar/MLA-1531716462-land-rover-range-rover-evoque-pure-plus-240cv-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,4.0 Se,200000 km,4.0,Nafta,Manual,1998,Malvinas Argentinas,14900,USD,https://auto.mercadolibre.com.ar/MLA-1392699967-land-rover-range-rover-40-se-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,Evoque 2.0 Tpure Plus,108000 km,2.0,Nafta,Automática secuencial,2013,Godoy Cruz,33000,USD,https://auto.mercadolibre.com.ar/MLA-1487468798-range-rover-evoque-20-t-pure-plus-gencosa-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,Evoque,67299 km,2.0,Nafta,Automática,2017,Capital Federal,56500,USD,https://auto.mercadolibre.com.ar/MLA-1510953908-land-rover-range-rover-evoque-si4-20-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,supercharged 4.2 V8 396cv,65000 km,4.2 V8,Nafta,Automática,2007,Tigre,29000,USD,https://auto.mercadolibre.com.ar/MLA-1390064121-range-rover-sport-supercharged-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,3.0 V6 Hse,201392 km,4.2 V8,Diésel,Automática,2012,San Isidro,35000,USD,https://auto.mercadolibre.com.ar/MLA-1384336467-land-rover-range-rover-30-tdv6-sport-2012-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,5.0 V8 Hse,91000 km,5.0,Nafta,Automática,2013,Capital Federal,50900,USD,https://auto.mercadolibre.com.ar/MLA-1544250872-land-rover-range-rover-sport-hse-v8-2013-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,3.0 V6 S/c Hse,64800 km,5.0,Nafta,Automática,2017,Pilar,93000,USD,https://auto.mercadolibre.com.ar/MLA-1468944078-rover-land-rov-range-rover-30-v6-sport-ii-sc-hse-2017-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover Sport,3.6 Hse V8,135000 km,3.6,Diésel,Automática,2009,Rosario,27000,USD,https://auto.mercadolibre.com.ar/MLA-1544903634-land-rover-range-rover-sport-2009-36-hse-v8-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,velar ps300,13000 km,3.6,Nafta,Automática,2021,Capital Federal,215000,USD,https://auto.mercadolibre.com.ar/MLA-1384291855-land-rover-range-rover-velar-ps300-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,Prestige,87000 km,3.6,Nafta,Automática,2013,Mar del Plata,35000,USD,https://auto.mercadolibre.com.ar/MLA-1524505490-land-rover-range-rover-prestige-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,Evoque 2.0 SE 240cv,48000 km,3.6,Nafta,Automática,2017,San Isidro,45500,USD,https://auto.mercadolibre.com.ar/MLA-1387695473-land-rover-range-rover-evoque-20-se-240cv-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,3.6 V8 Sport Hse,175000 km,3.6,Diésel,Automática,2007,San Isidro,28500,USD,https://auto.mercadolibre.com.ar/MLA-1393009989-land-rover-range-rover-36-v8-sport-hse-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,4.0 Se,240000 km,4.0,Nafta,Manual,1995,Esteban Echeverría,25000,USD,https://auto.mercadolibre.com.ar/MLA-1391174799-land-rover-range-rover-1995-40-se-_JM
Land Rover Range Rover 2006,Land Rover,Range Rover,4.0 Se,240000 km,4.0,Nafta,Manual,1995,Esteban Echeverría,15000,USD,https://auto.mercadolibre.com.ar/MLA-1391749219-land-rover-range-rover-1995-40-se-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,10000 km,2.0,Nafta,Automática,2022,San Isidro,30500,USD,https://auto.mercadolibre.com.ar/MLA-1393095147-ford-maverick-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,4200 km,2.0,Nafta,Automática,2022,Rafaela,27000,USD,https://auto.mercadolibre.com.ar/MLA-1393385151-ford-maverick-xlt-2023-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,80000 km,2.0,Nafta,Automática,2022,Vicente López,34000,USD,https://auto.mercadolibre.com.ar/MLA-1390272159-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,29000 km,2.0,Nafta,Automática,2022,General Rodríguez,26000,USD,https://auto.mercadolibre.com.ar/MLA-1391674129-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,26800 km,2.0,Nafta,Automática,2022,Tigre,28500,USD,https://auto.mercadolibre.com.ar/MLA-1531038546-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,40000 km,2.0,Nafta,Automática,2022,Tigre,24000,USD,https://auto.mercadolibre.com.ar/MLA-1527270194-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,Xlt,0 km,2.0,Nafta,Automática,2022,Merlo,25892000,USD,https://auto.mercadolibre.com.ar/MLA-1448016758-ford-maverick-hibrida-at-25l-ecobost-0km-_JM
Ford Maverick XLT 2022,Ford,Maverick,Xlt,0 km,2.0,Nafta,Automática,2022,Ituzaingó,25891000,USD,https://auto.mercadolibre.com.ar/MLA-1376825651-ford-maverick-hibrida-at-25l-ecobost-0km-_JM
Ford Maverick XLT 2022,Ford,Maverick,Xlt,0 km,2.0,Nafta,Automática,2022,Moreno,25890000,USD,https://auto.mercadolibre.com.ar/MLA-1376806939-ford-maverick-hibrida-at-25l-ecobost-0km-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,1678 km,2.0,Nafta,Automática,2022,Biedma,26000000,USD,https://auto.mercadolibre.com.ar/MLA-1529142722-ford-maverick-20t-2wd-xlt-at8-2022-_JM
Ford Maverick XLT 2022,Ford,Maverick,Xlt,0 km,2.0,Nafta,Automática,2022,Balcarce,18913000,USD,https://auto.mercadolibre.com.ar/MLA-1140687740-ford-nueva-maverick-xlt-20-4x2-nafta-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,4000 km,2.0,Nafta,Automática,2022,San Isidro,31500,USD,https://auto.mercadolibre.com.ar/MLA-1393075143-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Xlt,5200 km,2,Nafta,Automática,2022,Malvinas Argentinas,27920000,USD,https://auto.mercadolibre.com.ar/MLA-1511727240-ford-maverick-20-xlt-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Xlt,6047 km,2,Nafta,Automática,2022,Malvinas Argentinas,27890000,USD,https://auto.mercadolibre.com.ar/MLA-1511778370-ford-maverick-20-xlt-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,13963 km,2.0,Nafta,Automática,2022,Paraná,21900000,USD,https://auto.mercadolibre.com.ar/MLA-1390360243-ford-maverick-xlt-20l-4x2-at-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,16000 km,2.0,Nafta,Automática,2022,Capital Federal,28900,USD,https://auto.mercadolibre.com.ar/MLA-1542280200-ford-maverick-xlt-2022-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,30000 km,2.0,Nafta,Automática,2022,Capital Federal,32340000,USD,https://auto.mercadolibre.com.ar/MLA-1391138917-ford-maverick-xlt-20l-4x2-at-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,1300 km,2.0,Nafta,Automática,2022,San Juan Capital,26500,USD,https://auto.mercadolibre.com.ar/MLA-1510677738-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,2300 km,2.0,Nafta,Automática,2022,Capital Federal,29700,USD,https://auto.mercadolibre.com.ar/MLA-1391740773-ford-maverick-2022-2300-km-igual-a-okm-unico-dueno-permuto-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,35000 km,2.0,Nafta,Automática,2022,Córdoba,29900,USD,https://auto.mercadolibre.com.ar/MLA-1382326725-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,12000 km,2.0,Nafta,Automática,2022,Córdoba,34000,USD,https://auto.mercadolibre.com.ar/MLA-1494707342-ford-maverik-xlt-_JM
Ford Maverick XLT 2022,Ford,Maverick,Xlt,12000 km,2.0,Nafta,Automática,2022,Guaymallén,61982,USD,https://vehiculo.mercadolibre.com.ar/MLA-1118340233-ford-maverick-xlt-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,19000 km,2.0,Nafta,Automática,2022,Esteban Echeverría,30000,USD,https://auto.mercadolibre.com.ar/MLA-1522268832-ford-maverick-xlt-no-lariat-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,4000 km,2.0,Nafta,Automática,2022,Ezeiza,35000,USD,https://auto.mercadolibre.com.ar/MLA-1469763102-ford-maverick-20-xlt-4x2-at-2022-car-cash-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,13000 km,2.0,Nafta,Automática,2022,Córdoba,33000,USD,https://auto.mercadolibre.com.ar/MLA-1388749227-ford-maverick-2022-xlt-at-20t-apenas-13000-km--_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,6400 km,2.0,Nafta,Automática,2022,Corrientes,23900000,USD,https://auto.mercadolibre.com.ar/MLA-1393224345-ford-maverick-xlt-2022-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,0 km,2.0,Nafta,Automática,2022,Córdoba,32500,USD,https://auto.mercadolibre.com.ar/MLA-1389973677-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,18000 km,2.0,Nafta,Automática,2022,Lomas de Zamora,29000,USD,https://auto.mercadolibre.com.ar/MLA-1383365433-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,6600 km,2.0,Nafta,Automática,2022,Córdoba,32000,USD,https://auto.mercadolibre.com.ar/MLA-1382301535-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,15000 km,2.0,Nafta,Automática,2022,Córdoba,25900,USD,https://auto.mercadolibre.com.ar/MLA-1543763156-ford-maverick-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,15000 km,2.0,Nafta,Automática,2022,Mendoza,28000,USD,https://auto.mercadolibre.com.ar/MLA-1392677605-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,17850 km,2.0,Nafta,Automática,2022,Cariló,27500,USD,https://auto.mercadolibre.com.ar/MLA-1391175245-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,24000 km,2.0,Nafta,Automática,2022,Córdoba,30000,USD,https://auto.mercadolibre.com.ar/MLA-1525596424-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,19000 km,2.0,Nafta,Automática,2022,Los Cardales,28000,USD,https://auto.mercadolibre.com.ar/MLA-1536242904-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,24000 km,2.0,Nafta,Automática,2022,Capital Federal,31400,USD,https://auto.mercadolibre.com.ar/MLA-1543158722-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,20000 km,2.0,Nafta,Automática,2022,General Roca,28500,USD,https://auto.mercadolibre.com.ar/MLA-1391434155-ford-maverick-2022-20-ecoboost-cd-xlt-at8-2wd-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,1111111 km,2.0,Nafta,Automática,2022,San Francisco,22500000,USD,https://auto.mercadolibre.com.ar/MLA-1525589260-ford-maverick-xlt-4x2-0km-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,1000 km,2.0,Nafta,Automática,2023,Capital Federal,30900,USD,https://auto.mercadolibre.com.ar/MLA-1388721719-ford-maverick-0km-2023-xlt-at-4x2-abasto-motors-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,1700 km,2.0,Nafta,Automática,2023,Pilar,33500,USD,https://auto.mercadolibre.com.ar/MLA-1391373685-ford-maverick-20-ecoboost-cd-xlt-at8-2wd-2023-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,0 km,2.0,Nafta,Automática,2023,Hurlingham,30000,USD,https://auto.mercadolibre.com.ar/MLA-1381433531-ford-maverick-xlt-0km-_JM
Ford Maverick XLT 2022,Ford,Maverick,2.0 Ecoboost Cd Xlt At8 2wd,0 km,2.0,Nafta,Automática,2023,La Matanza,18193000,USD,https://auto.mercadolibre.com.ar/MLA-1418627078-ford-maverick-xlt-20-ecoboost-_JM
